Auvergne-Rhône-Alpes,Clermont-Ferrand,Grenoble,Lyon
Bourgogne-Franche-Comté,Besançon,Dijon,
Bretagne,Rennes,,
Centre-Val de Loire,Orléans-Tours,,
Corse,Corse,,
Grand Est,Nancy-Metz,Reims,Strasbourg
Guadeloupe,Gouadeloupe,,
Guyane,Guyane,,
Hauts-de-France,Amiens,Lille,
Île-de-France,Créteil,Paris,Versailles
Martinique,Martinique,,
Normandie,Caen,Rouen,Normandie
Nouvelle-Aquitaine,Bordeaux,Limoges,Poitiers
Occitanie,Montpellier,Toulouse,
Pays de la Loire,Nantes,,
Provence-Alpes-Côte d'Azur,Aix-Marseille,Nice,
La Réunion,La Réunion,,
Mayotte,Mayotte,,
